Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-06-26 00:00:00-04:00,543.3499755859375,546.6699829101562,541.52001953125,546.219970703125,43811400,0.0,0.0,0.0
2025-06-27 00:00:00-04:00,547.260009765625,549.989990234375,544.5399780273438,548.0900268554688,57577100,0.0,0.0,0.0
2025-06-30 00:00:00-04:00,551.260009765625,552.7999877929688,549.010009765625,551.6400146484375,45548700,0.0,0.0,0.0
2025-07-01 00:00:00-04:00,549.72998046875,550.7100219726562,544.6599731445312,546.989990234375,56166700,0.0,0.0,0.0
2025-07-02 00:00:00-04:00,546.1599731445312,551.0,546.1199951171875,550.7999877929688,36538300,0.0,0.0,0.0
2025-07-03 00:00:00-04:00,553.1799926757812,557.2000122070312,553.1799926757812,556.219970703125,26443500,0.0,0.0,0.0
2025-07-07 00:00:00-04:00,553.52001953125,554.3400268554688,549.5800170898438,552.030029296875,45349300,0.0,0.0,0.0
2025-07-08 00:00:00-04:00,553.3800048828125,554.010009765625,551.0999755859375,552.3400268554688,36153300,0.0,0.0,0.0
2025-07-09 00:00:00-04:00,554.47998046875,557.6300048828125,553.0999755859375,556.25,43045500,0.0,0.0,0.0
2025-07-10 00:00:00-04:00,556.8900146484375,557.2999877929688,552.75,555.4500122070312,34710900,0.0,0.0,0.0
2025-07-11 00:00:00-04:00,553.2999877929688,555.7899780273438,552.0499877929688,554.2000122070312,39618600,0.0,0.0,0.0
2025-07-14 00:00:00-04:00,553.989990234375,556.9500122070312,551.6300048828125,556.2100219726562,36453300,0.0,0.0,0.0
2025-07-15 00:00:00-04:00,560.25,560.7999877929688,556.6599731445312,556.719970703125,43277700,0.0,0.0,0.0
2025-07-16 00:00:00-04:00,557.280029296875,560.2100219726562,551.5599975585938,557.2899780273438,52314700,0.0,0.0,0.0
2025-07-17 00:00:00-04:00,558.02001953125,562.3099975585938,557.2100219726562,561.7999877929688,40423800,0.0,0.0,0.0
2025-07-18 00:00:00-04:00,563.1199951171875,564.72998046875,559.97998046875,561.260009765625,50484700,0.0,0.0,0.0
2025-07-21 00:00:00-04:00,562.0900268554688,566.0599975585938,562.0599975585938,564.1699829101562,39595200,0.0,0.0,0.0
2025-07-22 00:00:00-04:00,564.2999877929688,564.3499755859375,558.6099853515625,561.25,43270600,0.0,0.0,0.0
2025-07-23 00:00:00-04:00,562.3400268554688,563.8499755859375,559.5800170898438,563.8099975585938,40215300,0.0,0.0,0.0
2025-07-24 00:00:00-04:00,565.1300048828125,566.239990234375,563.2899780273438,565.010009765625,42275500,0.0,0.0,0.0
2025-07-25 00:00:00-04:00,564.9299926757812,567.7000122070312,564.27001953125,566.3699951171875,30630800,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,567.739990234375,569.0399780273438,566.8699951171875,568.1400146484375,31498700,0.0,0.0,0.0
2025-07-29 00:00:00-04:00,570.760009765625,572.1099853515625,566.530029296875,567.260009765625,45463300,0.0,0.0,0.0
2025-07-30 00:00:00-04:00,568.1799926757812,570.6199951171875,565.0499877929688,568.02001953125,43433800,0.0,0.0,0.0
2025-07-31 00:00:00-04:00,574.5399780273438,574.6300048828125,563.8699951171875,565.010009765625,64613600,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,558.8300170898438,559.02001953125,551.6799926757812,553.8800048828125,69400800,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,559.0499877929688,564.3200073242188,558.9500122070312,564.0999755859375,47669800,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,565.3900146484375,566.5599975585938,559.72998046875,560.27001953125,48666600,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,561.1099853515625,567.760009765625,560.6300048828125,567.3200073242188,41823700,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,571.6699829101562,573.3200073242188,565.1099853515625,569.239990234375,44463000,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,570.4500122070312,574.77001953125,570.1500244140625,574.5499877929688,35255500,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,574.6900024414062,576.7999877929688,571.5700073242188,572.8499755859375,33112900,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,575.1599731445312,580.3499755859375,572.489990234375,580.0499877929688,42143300,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,582.760009765625,583.3200073242188,578.9400024414062,580.3400268554688,41209300,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,578.280029296875,581.8800048828125,577.9099731445312,579.8900146484375,45425000,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,579.7899780273438,579.7899780273438,575.5742797851562,577.3400268554688,48775822,0.0,0.0,0.0
